gen_type,generic_gen_size_MW,capital_cost_CAD_MW,lifetime,capital_cost_CAD_MW_per_year,fixed_om_costs,variable_om_costs,carbon_emissions,min_output_ratio,capacity_factor,ramp_rate
biomass,50,4500000,45,274822,129200,20,0.2,0,0.9,0.5
coal,650,4080000,30,265409,61200,40,1,0,0.9,0.2
coal_ccs,650,5500000,30,357782,83200,60,0.2,0,0.9,0.2
dac,50,7000000,30,496667,163200,45,-0.5,0.5,0.8,0.02
gas,100,1540000,30,100179,18400,50,0.5,0,0.9,1
gas_ccs,400,3000000,30,195154,30400,70,0.1,0,0.9,0.2
hydro,1000,7690000,100,392417,27200,1,0,0.5,0.9,1
nuclear,2200,9110000,60,481264,149600,18,0,0.5,0.9,0.2
solar,150,1400000,30,91072,23800,2,0,0,0.2,1
storage,50,3000000,15,240727,20400,3,0,0,1,1
wind,200,1670000,30,108635,57800,5,0,0,0.6,1
wind_offshore,400,2500000,30,162628,110000,8,0,0,0.6,1
